Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56ft Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 71;startOffset: 8;endOffset: 20;endLine: 71,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fv Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 341;startOffset: 8;endOffset: 20;endLine: 341,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r9zd9SEFTPV56U3 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/sevenz/SevenZFileTest.java - startLine: 536;startOffset: 34;endOffset: 46;endLine: 536,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fu Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 250;startOffset: 31;endOffset: 43;endLine: 250,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fw Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 359;startOffset: 31;endOffset: 43;endLine: 359,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fx Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 382;startOffset: 31;endOffset: 43;endLine: 382,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fy Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 402;startOffset: 31;endOffset: 43;endLine: 402,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56fz Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 423;startOffset: 31;endOffset: 43;endLine: 423,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56f0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 445;startOffset: 31;endOffset: 43;endLine: 445,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56f1 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 466;startOffset: 31;endOffset: 43;endLine: 466,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56f2 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 486;startOffset: 31;endOffset: 43;endLine: 486,Reliability (Bugs)
