Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 452 to the 15 allowed.""",CRITICAL,7h22min,Key: AYfl9rT3d9SEFTPV55ra Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 728;startOffset: 20;endOffset: 34;endLine: 728,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 76 to the 15 allowed.""",CRITICAL,1h6min,Key: AYfl9rggd9SEFTPV552r Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 329;startOffset: 17;endOffset: 36;endLine: 329,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  55 times.""",CRITICAL,1h52min,Key: AYfl9rkhd9SEFTPV5592 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 914;startOffset: 19;endOffset: 27;endLine: 914,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 117 to the 15 allowed.""",CRITICAL,1h47min,Key: AYfl9rvId9SEFTPV56Ek Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java - startLine: 748;startOffset: 41;endOffset: 56;endLine: 748,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 84 to the 15 allowed.""",CRITICAL,1h14min,Key: AYfl9rkhd9SEFTPV55-e Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 689;startOffset: 13;endOffset: 26;endLine: 689,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 63 to the 15 allowed.""",CRITICAL,53min,Key: AYfl9rkhd9SEFTPV55-f Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 991;startOffset: 13;endOffset: 31;endLine: 991,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 62 to the 15 allowed.""",CRITICAL,52min,Key: AYfl9rh8d9SEFTPV555n Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CodecEncoding.java - startLine: 180;startOffset: 24;endOffset: 36;endLine: 180,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 60 to the 15 allowed.""",CRITICAL,50min,Key: AYfl9rnDd9SEFTPV56BE Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1084;startOffset: 17;endOffset: 30;endLine: 1084,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 59 to the 15 allowed.""",CRITICAL,49min,Key: AYfl9rTRd9SEFTPV55qc Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java - startLine: 233;startOffset: 24;endOffset: 41;endLine: 233,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.""",CRITICAL,47min,Key: AYfl9rnDd9SEFTPV56BQ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1639;startOffset: 17;endOffset: 37;endLine: 1639,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.""",CRITICAL,47min,Key: AYfl9rT3d9SEFTPV55rg Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 908;startOffset: 15;endOffset: 23;endLine: 908,Maintenance (Code Smells)
