Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1994:  ""Move the update of len into this loop's update clause.""",CRITICAL,20min,Key: AYfl9rvId9SEFTPV56Eh Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java - startLine: 518;startOffset: 8;endOffset: 11;endLine: 518,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AYfl9ri9d9SEFTPV557X Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CpBands.java - startLine: 176;startOffset: 22;endOffset: 23;endLine: 176,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1113:  ""Do not override the Object.finalize() method.""",CRITICAL,20min,Key: AYfl9rrid9SEFTPV56C6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java - startLine: 809;startOffset: 19;endOffset: 27;endLine: 809,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AYfl9rmod9SEFTPV56Ai Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZArchiveEntry.java - startLine: 208;startOffset: 20;endOffset: 21;endLine: 208,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ShortForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uB Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 51;startOffset: 32;endOffset: 41;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to StringRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uD Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 53;startOffset: 32;endOffset: 45;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to IincForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55v0 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 166;startOffset: 33;endOffset: 41;endLine: 166,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wJ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 187;startOffset: 33;endOffset: 42;endLine: 187,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wK Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 188;startOffset: 33;endOffset: 42;endLine: 188,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wL Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 189;startOffset: 33;endOffset: 42;endLine: 189,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wM Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 190;startOffset: 33;endOffset: 42;endLine: 190,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wN Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 191;startOffset: 33;endOffset: 42;endLine: 191,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wO Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 192;startOffset: 33;endOffset: 42;endLine: 192,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wP Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 193;startOffset: 33;endOffset: 42;endLine: 193,Maintenance (Code Smells)
