ID,Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento,,Assegnatario,Tempo Effettivo,Hash Commit
K1,To-Do,New,Normal,"java:S1874:  ""Remove this use of newInstance; it is deprecated.""",MINOR,15min,Key: AYfl9rqfd9SEFTPV56CX Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java - startLine: 410;startOffset: 55;endOffset: 66;endLine: 410,Maintenance (Code Smells),,Matteo Razionale,0h5m,77d0048d1c413b8fea1b9e334cdfef54876a7961
K2,To-Do,New,Normal,"java:S1874:  ""Remove this use of b; it is deprecated.""",MINOR,15min,Key: AYfl9rjhd9SEFTPV5578 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Archive.java - startLine: 105;startOffset: 73;endOffset: 74;endLine: 105,Maintenance (Code Smells),,Matteo Razionale,rejected,
K3,To-Do,New,Normal,"java:S1874:  ""Remove this use of b; it is deprecated.""",MINOR,15min,Key: AYfl9rhsd9SEFTPV555g Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttribute.java - startLine: 188;startOffset: 28;endOffset: 29;endLine: 188,Maintenance (Code Smells),,Matteo Razionale,rejected,
K4,To-Do,New,Normal,"java:S1874:  ""Don't override a deprecated method or explicitly mark it as @Deprecated.""",MINOR,15min,Key: AYfl9rjNd9SEFTPV557z Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 422;startOffset: 20;endOffset: 35;endLine: 422,Maintenance (Code Smells),,Matteo Razionale,rejected,
K5,To-Do,New,Normal,"java:S1874:  ""Remove this use of b; it is deprecated.""",MINOR,15min,Key: AYfl9rjNd9SEFTPV5575 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 658;startOffset: 53;endOffset: 54;endLine: 658,Maintenance (Code Smells),,Matteo Razionale,rejected,
K6,To-Do,New,Normal,"java:S1874:  ""Remove this use of newInstance; it is deprecated.""",MINOR,15min,Key: AYfl9rzbd9SEFTPV56GC Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/java/util/jar/Pack200.java - startLine: 280;startOffset: 75;endOffset: 86;endLine: 280,Maintenance (Code Smells),,Matteo Razionale,rejected,
K7,To-Do,New,Normal,"java:S1874:  ""Remove this use of b; it is deprecated.""",MINOR,15min,Key: AYfl9rjTd9SEFTPV5577 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Pack200ClassReader.java - startLine: 61;startOffset: 25;endOffset: 26;endLine: 61,Maintenance (Code Smells),,Matteo Razionale,rejected,
K8,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559E Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 35;startOffset: 30;endOffset: 53;endLine: 35,Maintenance (Code Smells),,Matteo Razionale,rejected,
K9,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559F Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 42;startOffset: 30;endOffset: 53;endLine: 42,Maintenance (Code Smells),,Matteo Razionale,rejected,
K10,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559G Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 49;startOffset: 30;endOffset: 53;endLine: 49,Maintenance (Code Smells),,Matteo Razionale,rejected,
K11,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559H Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 56;startOffset: 30;endOffset: 53;endLine: 56,Maintenance (Code Smells),,Matteo Razionale,rejected,
K12,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559I Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 66;startOffset: 30;endOffset: 50;endLine: 66,Maintenance (Code Smells),,Matteo Razionale,rejected,
K13,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559J Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 72;startOffset: 30;endOffset: 50;endLine: 72,Maintenance (Code Smells),,Matteo Razionale,rejected,
K14,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559K Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 79;startOffset: 30;endOffset: 50;endLine: 79,Maintenance (Code Smells),,Matteo Razionale,rejected,
K15,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559L Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 90;startOffset: 30;endOffset: 50;endLine: 90,Maintenance (Code Smells),,Matteo Razionale,rejected,
K16,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559M Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 101;startOffset: 30;endOffset: 50;endLine: 101,Maintenance (Code Smells),,Matteo Razionale,rejected,
K17,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559N Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 115;startOffset: 30;endOffset: 48;endLine: 115,Maintenance (Code Smells),,Matteo Razionale,rejected,
K18,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559O Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 121;startOffset: 30;endOffset: 48;endLine: 121,Maintenance (Code Smells),,Matteo Razionale,rejected,
K19,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559P Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 128;startOffset: 30;endOffset: 48;endLine: 128,Maintenance (Code Smells),,Matteo Razionale,rejected,
K20,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559Q Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 139;startOffset: 30;endOffset: 48;endLine: 139,Maintenance (Code Smells),,Matteo Razionale,rejected,
K21,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559R Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 150;startOffset: 30;endOffset: 48;endLine: 150,Maintenance (Code Smells),,Matteo Razionale,rejected,
K22,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559S Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 161;startOffset: 30;endOffset: 54;endLine: 161,Maintenance (Code Smells),,Matteo Razionale,rejected,
K23,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559T Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 171;startOffset: 30;endOffset: 51;endLine: 171,Maintenance (Code Smells),,Matteo Razionale,rejected,
K24,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559U Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 177;startOffset: 30;endOffset: 51;endLine: 177,Maintenance (Code Smells),,Matteo Razionale,rejected,
K25,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559V Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 184;startOffset: 30;endOffset: 57;endLine: 184,Maintenance (Code Smells),,Matteo Razionale,rejected,
K26,To-Do,New,Normal,"java:S1210:  ""Override equals(Object obj) to comply with the contract of the compareTo(T o) method.""",MINOR,15min,Key: AYfl9riVd9SEFTPV5556 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CPMethodOrField.java - startLine: 35;startOffset: 15;endOffset: 24;endLine: 35,Maintenance (Code Smells),,Matteo Razionale,rejected,
K27,To-Do,New,Normal,"java:S1210:  ""Override equals(Object obj) to comply with the contract of the compareTo(T o) method.""",MINOR,15min,Key: AYfl9ri0d9SEFTPV556- Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CPNameAndType.java - startLine: 33;startOffset: 15;endOffset: 24;endLine: 33,Maintenance (Code Smells),,Matteo Razionale,rejected,
K28,To-Do,New,Normal,"java:S1210:  ""Override equals(Object obj) to comply with the contract of the compareTo(T o) method.""",MINOR,15min,Key: AYfl9riCd9SEFTPV555t Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CPSignature.java - startLine: 39;startOffset: 15;endOffset: 24;endLine: 39,Maintenance (Code Smells),,Matteo Razionale,rejected,
K29,To-Do,New,Normal,"java:S1210:  ""Override equals(Object obj) to comply with the contract of the compareTo(T o) method.""",MINOR,15min,Key: AYfl9rkXd9SEFTPV559j Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CPUTF8.java - startLine: 31;startOffset: 15;endOffset: 24;endLine: 31,Maintenance (Code Smells),,Matteo Razionale,rejected,
K30,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rj2d9SEFTPV559D Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CanonicalCodecFamilies.java - startLine: 27;startOffset: 30;endOffset: 53;endLine: 27,Maintenance (Code Smells),,Matteo Razionale,rejected,
K31,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rgmd9SEFTPV553E Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/AttributeLayout.java - startLine: 64;startOffset: 33;endOffset: 45;endLine: 64,Maintenance (Code Smells),,Matteo Razionale,rejected,
K32,To-Do,New,Normal,"java:S2386:  ""Make this member protected.""",MINOR,15min,Key: AYfl9rvwd9SEFTPV56E9 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/examples/Archiver.java - startLine: 99;startOffset: 49;endOffset: 70;endLine: 99,Maintenance (Code Smells),,Matteo Razionale,rejected,
K33,To-Do,New,Normal,"java:S1874:  ""Remove this use of newInstance; it is deprecated.""",MINOR,15min,Key: AYfl9rqfd9SEFTPV56CV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java - startLine: 175;startOffset: 37;endOffset: 48;endLine: 175,Maintenance (Code Smells),,Matteo Razionale,0h20m,94b9a82f5bac1f4fbf92b8f15a5b05e21105c27f
K34,To-Do,New,Normal,"java:S1874:  ""Remove this use of create; it is deprecated.""",MINOR,15min,Key: AYfl9rvwd9SEFTPV56FA Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/examples/Archiver.java - startLine: 322;startOffset: 16;endOffset: 22;endLine: 322,Maintenance (Code Smells),,Matteo Razionale,rejected,
K35,To-Do,New,Normal,"java:S1165:  ""Make this offset field final.""",MINOR,15min,Key: AYfl9rs6d9SEFTPV56D_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/dump/InvalidFormatException.java - startLine: 28;startOffset: 19;endOffset: 25;endLine: 28,Maintenance (Code Smells),,Matteo Razionale,rejected,
K36,To-Do,New,Normal,"java:S135:  ""Reduce the total number of break and continue statements in this loop to use at most one.""",MINOR,1h40min,Key: AYfl9rrId9SEFTPV56Ck Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java - startLine: 644;startOffset: 8;endOffset: 13;endLine: 644,Maintenance (Code Smells),,Matteo Razionale,0h15m,c26d51b5e910a08cbd045c76592c352fcc8ddadc
K37,To-Do,New,Normal,"java:S135:  ""Reduce the total number of break and continue statements in this loop to use at most one.""",MINOR,20min,Key: AYfl9rnDd9SEFTPV56Ap Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 698;startOffset: 8;endOffset: 11;endLine: 698,Maintenance (Code Smells),,Matteo Razionale,0h30m,7c900056ce53d80beb8fe79a8b947eecb77cb6b7
